series_id,obs_date,value
portwatch.bab_el_mandeb.capacity_tanker,2019-01-01,1141463.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-02,776236.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-03,884041.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-04,1579891.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-05,1370689.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-06,952788.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-07,1117375.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-08,484817.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-09,721404.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-10,754716.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-11,1113796.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-12,342195.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-13,728374.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-14,1189427.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-15,584945.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-16,818881.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-17,609656.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-18,789751.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-19,270568.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-20,814092.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-21,484254.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-22,914471.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-23,635510.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-24,509278.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-25,673783.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-26,674638.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-27,397046.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-28,963446.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-29,1195237.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-30,763520.0
portwatch.bab_el_mandeb.capacity_tanker,2019-01-31,813904.0
portwatch.bab_el_mandeb.capacity_tanker,2019-02-01,538712.0
portwatch.bab_el_mandeb.capacity_tanker,2019-02-02,586262.0
portwatch.bab_el_mandeb.capacity_tanker,2019-02-03,1786080.0
