made_at,question,horizon,my_prob,market_prob,market_source,resolved_at,outcome,notes
2026-07-28T18:03:47+00:00,Oil turbulence (realised vol rises) within 20 trading days — Israel-Iran War (2025- ),20td,0.75,,analogue,2026-08-27T21:12:36+00:00,0,analogue non-clean share; N=60; confidence indicative; anchor 2026-07-28
2026-07-28T18:03:47+00:00,Oil turbulence (realised vol rises) within 20 trading days — Russia-Ukraine War,20td,0.75,,analogue,2026-08-27T21:12:36+00:00,0,analogue non-clean share; N=60; confidence indicative; anchor 2026-07-28
2026-07-28T18:03:47+00:00,Oil turbulence (realised vol rises) within 20 trading days — China-Taiwan Tension,20td,0.75,,analogue,2026-08-27T21:12:36+00:00,0,analogue non-clean share; N=60; confidence indicative; anchor 2026-07-28
2026-07-28T18:03:47+00:00,Oil turbulence (realised vol rises) within 20 trading days — Israel-Lebanon (Hezbollah),20td,0.75,,analogue,2026-08-27T21:12:36+00:00,0,analogue non-clean share; N=60; confidence indicative; anchor 2026-07-28
2026-08-27T21:12:36+00:00,Oil turbulence (realised vol rises) within 20 trading days — Israel-Iran War (2025- ),20td,0.75,,analogue,,,analogue non-clean share; N=60; confidence indicative; anchor 2026-08-27
2026-08-27T21:12:36+00:00,Oil turbulence (realised vol rises) within 20 trading days — Russia-Ukraine War,20td,0.75,,analogue,,,analogue non-clean share; N=60; confidence indicative; anchor 2026-08-27
2026-08-27T21:12:36+00:00,Oil turbulence (realised vol rises) within 20 trading days — China-Taiwan Tension,20td,0.75,,analogue,,,analogue non-clean share; N=60; confidence indicative; anchor 2026-08-27
2026-08-27T21:12:36+00:00,Oil turbulence (realised vol rises) within 20 trading days — Israel-Lebanon (Hezbollah),20td,0.75,,analogue,,,analogue non-clean share; N=60; confidence indicative; anchor 2026-08-27
