event_date,source,source_id,source_detail,actors,nearest_corpus_event,days_to_corpus
2009-05-21,ucdp,752,dyad 752 Government of Somalia vs Hizbul Islam (Somalia) onset 2009-05-21 intensity 1,520,opec_2009_05_28,7
2009-06-12,ucdp,886,dyad 886 Government of India vs NDFB - RD (India) onset 2009-06-12 intensity 1,750,opec_2009_05_28,15
2009-07-26,ucdp,640,dyad 640 Government of Nigeria vs JAS (Nigeria) onset 2009-07-26 intensity 1,475,mend_amnesty_2009,11
2009-08-17,mid,4544,dispute 4544 EGY-ISR 2009-08-17..2009-08-17 hihost 4,651;666,mend_amnesty_2009,11
2009-09-11,mid,4545,dispute 4545 ISR-LEB 2009-09-11..2010-12-28 hihost 4,660;666,mend_amnesty_2009,36
2009-12-17,mid,4546,dispute 4546 IRN-IRQ 2009-12-17..2010-01-28 hihost 4,630;645,mend_amnesty_2009,133
2009-12-17,ucdp,459,dyad 459 Government of Yemen (North Yemen) vs AQAP (Yemen (North Yemen)) onset 2009-12-17 intensity 1,678,mend_amnesty_2009,133
2010-03-26,icb,461,CHEONAN SINKING 2010-03-26..2010-07-26 viol 2.0,731;732,iran_cisada_2010,97
2010-03-28,mid,4488,dispute 4488 CHN-DRV 2010-03-28..2010-12-28 hihost 4,710;816,iran_cisada_2010,95
2010-05-12,mid,4547,dispute 4547 IRN-IRQ 2010-05-12..2010-12-28 hihost 4,630;645,iran_cisada_2010,50
2010-09-07,mid,4491,dispute 4491 CHN-JPN 2010-09-07..2010-12-28 hihost 4,710;740,rus_grain_ban_2010,33
2010-09-27,mid,4598,dispute 4598 PAK-USA 2010-09-27..2010-12-28 hihost 4,2;770,rus_grain_ban_2010,53
2010-10-12,mid,4599,dispute 4599 AFG-IRN 2010-10-12..2010-12-28 hihost 4,630;700,rus_grain_ban_2010,68
2010-11-23,icb,462,YEONPYEONG ISLAND 2010-11-23..2011-06-19 viol 2.0,731;732,egypt_revolution_2011,63
2011-01-13,mid,4636,dispute 4636 AFG-PAK-USA 2011-01-13..2014-12-14 hihost 4,2;700;770,egypt_revolution_2011,12
2011-02-22,icb,464,LIBYAN CIVILWAR 2011-02-22..2011-10-20 viol 4.0,2;20;200;220;325;620;694,libya_civil_war_2011,5
2011-02-25,mid,4703,dispute 4703 CHN-PHI 2011-02-25..2012-06-15 hihost 4,710;840,libya_civil_war_2011,8
2011-03-04,ucdp,11980,dyad 11980 Government of Libya vs NTC (Libya) onset 2011-03-04 intensity 2,620,fukushima_2011,7
2011-03-18,mid,4685,dispute 4685 CAN-FRN-JOR-LIB-NOR-QAT-TUR-UAE-UKG-USA 2011-03-18..2011-08-23 hihost 4,2;20;200;210;211;212;220;230;235;255;290;310;316;317;325;339;341;344;349;350;355;360;366;367;368;380;385;390;395;620;640;663;694;696,fukushima_2011,7
2011-04-05,mid,4658,dispute 4658 ISR-SUD 2011-04-05..2011-04-05 hihost 4,625;666,fukushima_2011,25
2011-04-11,mid,4665,dispute 4665 AFG-IRN 2011-04-11..2011-10-15 hihost 4,630;700,fukushima_2011,31
2011-05-15,mid,4687,dispute 4687 ISR-SYR 2011-05-15..2014-12-23 hihost 4,652;666,opec_no_deal_june_2011,24
2011-06-18,mid,4629,dispute 4629 GRG-RUS 2011-06-18..2011-09-07 hihost 4,365;372,iea_release_libya_2011,5
2011-08-01,ucdp,11758,dyad 11758 Government of Yemen (North Yemen) vs Islah (Yemen (North Yemen)) onset 2011-08-01 intensity 1,678,escondida_strike_2011,11
2011-08-02,ucdp,11973,dyad 11973 Government of Syria vs Syrian insurgents (Syria) onset 2011-08-02 intensity 2,652,escondida_strike_2011,12
2011-08-17,mid,4632,dispute 4632 IRQ-TUR 2011-08-17..2013-02-21 hihost 4,640;645,escondida_strike_2011,27
2011-08-18,mid,4674,dispute 4674 EGY-ISR 2011-08-18..2011-09-13 hihost 4,651;666,escondida_strike_2011,28
2011-08-20,ucdp,17474,dyad 17474 Government of Yemen (North Yemen) vs Alliance of Yemeni Tribes (Yemen (North Yemen)) onset 2011-08-20 intensity 1,678,escondida_strike_2011,30
2011-09-12,ucdp,10885,dyad 10885 Government of Libya vs Forces of Muammar Gaddafi (Libya) onset 2011-09-12 intensity 1,620,escondida_strike_2011,53
2011-09-15,mid,4689,dispute 4689 LEB-SYR 2011-09-15..2014-12-28 hihost 4,652;660,escondida_strike_2011,56
2011-09-20,ucdp,10857,dyad 10857 Government of Yemen (North Yemen) vs Free Yemeni Army (Yemen (North Yemen)) onset 2011-09-20 intensity 1,678,escondida_strike_2011,61
2011-09-28,mid,4677,dispute 4677 NOR-RUS 2011-09-28..2011-10-01 hihost 4,365;385,sanc_2011_11_21,54
2011-10-19,mid,4642,dispute 4642 AZE-IRN 2011-10-19..2011-11-19 hihost 4,373;630,sanc_2011_11_21,33
2011-12-01,mid,4659,dispute 4659 ISR-SUD 2011-12-01..2011-12-01 hihost 4,625;666,sanc_2011_11_21,10
2012-02-22,mid,4700,dispute 4700 CHN-DRV 2012-02-22..2012-04-20 hihost 4,710;816,swift_cutoff_iran_2012,22
2012-05-27,mid,4666,dispute 4666 AFG-IRN 2012-05-27..2012-05-27 hihost 4,630;700,opec_2012_06_05,9
2012-07-17,mid,4640,dispute 4640 CHN-RUS 2012-07-17..2012-07-20 hihost 4,365;710,marikana_strike_2012,30
2012-07-27,mid,4688,dispute 4688 JOR-SYR 2012-07-27..2012-12-28 hihost 4,652;663,marikana_strike_2012,20
2012-09-07,ucdp,13821,dyad 13821 Government of Syria vs PYD (Syria) onset 2012-09-07 intensity 1,652,marikana_strike_2012,22
2012-10-03,icb,468,SYRIA-TURKEY BORDER INCIDENTS 2012-10-03..2012-12-04 viol 2.0,640,marikana_strike_2012,48
2012-10-23,mid,4660,dispute 4660 ISR-SUD 2012-10-23..2012-10-23 hihost 4,625;666,marikana_strike_2012,68
2012-11-01,mid,4603,dispute 4603 IRN-USA 2012-11-01..2013-03-12 hihost 4,2;630,marikana_strike_2012,77
2012-11-15,ucdp,11971,dyad 11971 Government of India vs GNLA (India) onset 2012-11-15 intensity 1,750,marikana_strike_2012,91
2012-12-04,ucdp,11984,dyad 11984 Government of Algeria vs MUJAO (Algeria) onset 2012-12-04 intensity 1,615,marikana_strike_2012,110
2013-02-12,icb,469,N. KOREA NUCLEAR V 2013-02-12..2013-08-14 viol 1.0,2;731;732;740,opec_2013_05_31,108
2013-03-02,ucdp,12139,dyad 12139 Government of Malaysia vs Sultanate of Sulu (Malaysia) onset 2013-03-02 intensity 1,820,opec_2013_05_31,90
2013-03-20,mid,4701,dispute 4701 CHN-DRV 2013-03-20..2013-07-07 hihost 4,710;816,opec_2013_05_31,72
2013-04-15,mid,4719,dispute 4719 CHN-IND 2013-04-15..2013-12-21 hihost 4,710;750,opec_2013_05_31,46
2013-05-10,mid,4667,dispute 4667 AFG-IRN 2013-05-10..2013-05-10 hihost 4,630;700,opec_2013_05_31,21
2013-07-18,mid,4681,dispute 4681 RUS-UKR 2013-07-18..2013-07-18 hihost 4,365;369,libya_jathran_blockade_2013,14
2013-07-25,ucdp,14620,dyad 14620 Government of Syria vs IS (Syria) onset 2013-07-25 intensity 2,652,libya_jathran_blockade_2013,7
2013-08-13,mid,4670,dispute 4670 IND-IRN 2013-08-13..2013-08-16 hihost 4,630;750,libya_jathran_blockade_2013,12
2013-08-21,icb,470,SYRIA CHEMICAL WEAPONS 2013-08-21..2013-09-21 viol 4.0,2;652,libya_jathran_blockade_2013,20
2013-09-26,mid,4690,dispute 4690 JOR-SYR 2013-09-26..2013-09-26 hihost 4,652;663,libya_jathran_blockade_2013,56
2013-10-20,mid,4608,dispute 4608 ECU-PAN 2013-10-20..2013-10-23 hihost 4,95;130,sanc_2013_11_24,35
2013-10-27,mid,4672,dispute 4672 IRN-PAK 2013-10-27..2014-12-28 hihost 4,630;770,sanc_2013_11_24,28
2013-11-28,mid,4639,dispute 4639 KZK-RUS 2013-11-28..2013-11-28 hihost 4,365;705,sanc_2013_11_24,4
2013-11-29,ucdp,15539,dyad 15539 Government of Libya vs ASL (Libya) onset 2013-11-29 intensity 1,620,sanc_2013_11_24,5
2013-12-11,ucdp,14102,dyad 14102 Government of India vs NDFB-S (India) onset 2013-12-11 intensity 1,750,opec_2013_12_04,7
2014-02-22,icb,471,CRIMEA-DONBASS 2014-02-22..2015-02-18 viol 4.0,365;369,kirkuk_ceyhan_isis_2014,8
2014-02-24,mid,4683,dispute 4683 RUS-UKR 2014-02-24..2014-09-18 hihost 4,365;369,kirkuk_ceyhan_isis_2014,6
2014-03-11,mid,4704,dispute 4704 CHN-PHI 2014-03-11..2014-05-10 hihost 4,710;840,kirkuk_ceyhan_isis_2014,9
2014-04-02,mid,4682,dispute 4682 RUS-UKR 2014-04-02..2014-12-28 hihost 4,365;369,kirkuk_ceyhan_isis_2014,31
2014-04-14,mid,4604,dispute 4604 AFG-USA 2014-04-14..2014-09-10 hihost 4,2;700,kirkuk_ceyhan_isis_2014,43
2014-05-02,icb,472,CHINESE OIL RIG 2014-05-02..2014-07-16 viol 2.0,710;816,mosul_isis_offensive_2014,39
2014-05-02,ucdp,12487,dyad 12487 Government of Egypt vs Ansar Bayt al-Maqdis (Egypt) onset 2014-05-02 intensity 1,651,mosul_isis_offensive_2014,39
2014-05-04,mid,4702,dispute 4702 CHN-DRV 2014-05-04..2014-08-18 hihost 4,710;816,mosul_isis_offensive_2014,37
2014-05-07,mid,4669,dispute 4669 AFG-IRN 2014-05-07..2014-05-07 hihost 4,630;700,mosul_isis_offensive_2014,34
2014-06-02,mid,4633,dispute 4633 IRQ-TUR 2014-06-02..2014-06-02 hihost 4,640;645,mosul_isis_offensive_2014,8
2014-07-28,mid,4675,dispute 4675 EGY-ISR 2014-07-28..2014-07-28 hihost 4,651;666,russia_sectoral_sanctions_2014,12
2014-08-03,ucdp,14244,dyad 14244 Government of Lebanon vs IS (Lebanon) onset 2014-08-03 intensity 1,660,russia_sectoral_sanctions_2014,18
2014-09-08,ucdp,14249,dyad 14249 Government of Libya vs Zintan Military Council (Libya) onset 2014-09-08 intensity 1,620,russia_oiltech_ban_2014,4
2014-10-06,icb,473,INDIA-PAKISTAN BORDER FIRING 2014-10-06..2014-10-28 viol 2.0,750;770,russia_oiltech_ban_2014,24
2014-10-10,mid,4696,dispute 4696 CHN-ROK 2014-10-10..2014-10-10 hihost 4,710;732,russia_oiltech_ban_2014,28
2014-11-04,ucdp,14059,dyad 14059 Government of Libya vs Forces of the House of Representatives (Libya) onset 2014-11-04 intensity 1,620,opec_declines_cut_2014,23
2014-11-11,mid,4726,dispute 4726 PAK-USA 2014-11-11..2014-11-11 hihost 4,2;770,opec_declines_cut_2014,16
2015-01-22,icb,474,HOUTHI REBELLION 2015-01-22..2020-12-26 viol 4.0,670;696,libya_ports_clashes_2014,39
2015-01-29,ucdp,14677,dyad 14677 Government of Egypt vs IS (Egypt) onset 2015-01-29 intensity 1,651,libya_ports_clashes_2014,46
2015-03-18,ucdp,14745,dyad 14745 Government of Libya vs IS (Libya) onset 2015-03-18 intensity 1,620,saudi_intervention_yemen_2015,8
2015-03-20,ucdp,14609,dyad 14609 Government of Yemen (North Yemen) vs IS (Yemen (North Yemen)) onset 2015-03-20 intensity 1,678,saudi_intervention_yemen_2015,6
2015-03-22,ucdp,14669,dyad 14669 Government of Nigeria vs IS (Nigeria) onset 2015-03-22 intensity 2,475,saudi_intervention_yemen_2015,4
2015-05-20,ucdp,14847,dyad 14847 Government of Algeria vs IS (Algeria) onset 2015-05-20 intensity 1,615,saudi_intervention_yemen_2015,55
2015-06-04,ucdp,14685,dyad 14685 Government of India vs UNLFW (India) onset 2015-06-04 intensity 1,750,iran_jcpoa_agreed_2015,40
2015-08-28,icb,475,KOREAN LAND MINE 2015-08-28..2015-08-25 viol 2.0,731;732,china_yuan_deval_2015,17
2015-10-10,ucdp,14619,dyad 14619 Government of Russia (Soviet Union) vs IS (Russia (Soviet Union)) onset 2015-10-10 intensity 1,365,opec_2015_12_04,55
2015-11-14,ucdp,14701,dyad 14701 Government of Turkey vs IS (Turkey) onset 2015-11-14 intensity 1,640,opec_2015_12_04,20
2015-11-17,gpr,20151117,"GPRD 354.1 > p99 337.84 (1987+, n 14489)",,opec_2015_12_04,17
2015-11-24,icb,476,TURKEY-RUSSIA JET INCIDENT 2015-11-24..2016-06-28 viol 2.0,2;200;220;260;365;390;640,opec_2015_12_04,10
2016-01-06,icb,477,NORTH KOREA NUCLEAR VI 2016-01-06..2016-12-02 viol 1.0,2;731;732;740,iran_implementation_day_2016,10
2016-04-23,ucdp,14784,dyad 14784 Government of Syria vs SDF (Syria) onset 2016-04-23 intensity 1,652,nigeria_nda_escravos_2016,32
2016-06-09,icb,479,EAST CHINA SEA 2016-06-09..2016-06-14 viol 1.0,740,nigeria_nda_escravos_2016,15
2016-07-16,ucdp,15065,dyad 15065 Government of Turkey vs Yurtta Sulh Konseyi (Turkey) onset 2016-07-16 intensity 1,640,nigeria_nda_escravos_2016,52
2016-08-24,icb,481,OPERATION EUPHRATES SHIELD 2016-08-24..2017-03-28 viol 4.0,640;652,opec_algiers_accord_2016,35
2016-09-18,icb,482,URI BASE ATTACK 2016-09-18..2016-09-20 viol 2.0,750;770,opec_algiers_accord_2016,10
2016-12-18,ucdp,14741,dyad 14741 Government of Jordan vs IS (Jordan) onset 2016-12-18 intensity 1,663,opec_agrees_cut_2016,18
2016-12-31,ucdp,15993,dyad 15993 Government of Angola vs FLEC-FAC-TN (Angola) onset 2016-12-31 intensity 1,540,opec_agrees_cut_2016,31
2017-04-04,icb,486,SYRIA CHEMICAL WEAPONS II 2017-04-04..2017-04-24 viol 4.0,2;365;652,opec_extend_may_2017,51
2017-06-11,ucdp,14895,dyad 14895 Government of Iran vs IS (Iran) onset 2017-06-11 intensity 1,630,qatar_gulf_blockade_2017,6
2017-07-03,icb,487,NORTH KOREA NUCLEAR VII 2017-07-03..2018-06-12 viol 1.0,2;731;732;740,qatar_gulf_blockade_2017,28
2017-07-14,ucdp,14973,dyad 14973 Government of Egypt vs Harakit Sawa'id Misr (Egypt) onset 2017-07-14 intensity 1,651,qatar_gulf_blockade_2017,39
2017-10-20,ucdp,15262,dyad 15262 Government of Egypt vs Jama'at Ansar al-Islam (Egypt) onset 2017-10-20 intensity 1,651,kirkuk_seizure_2017,4
2017-11-04,icb,497,DETENTION OF HARIRI 2017-11-04..2017-11-21 viol 1.0,660,kirkuk_seizure_2017,19
2017-11-08,ucdp,15333,dyad 15333 Government of Libya vs PFLL (Libya) onset 2017-11-08 intensity 1,620,kirkuk_seizure_2017,23
2017-11-30,ucdp,15298,dyad 15298 Government of Yemen (North Yemen) vs GPC (Yemen (North Yemen)) onset 2017-11-30 intensity 1,678,kaz_uranium_cut_2017,4
2018-02-10,icb,488,ISRAEL-IRAN CLASHES IN SYRIA 2018-02-10..2018-05-10 viol 2.0,630;666,us_steel_alu_tariffs_2018,26
2018-03-21,ucdp,17247,dyad 17247 Government of Colombia vs FARC-EMC (Colombia) onset 2018-03-21 intensity 1,100,drc_mining_code_2018,12
2018-04-07,icb,489,SYRIA CHEMICAL WEAPONS III 2018-04-07..2018-04-14 viol 4.0,2;200;220;365;652,bab_el_mandeb_houthi_tanker_2018,4
2018-04-15,icb,490,UAE WITHDRAWAL FROM SOMALIA 2018-04-15..2018-04-22 viol 3.0,520,bab_el_mandeb_houthi_tanker_2018,12
2018-04-29,ucdp,15633,"dyad 15633 Government of Iran vs Government of Israel (Iran, Israel) onset 2018-04-29 intensity 1",630;666,iran_sanctions_reimposed_2018,9
2018-05-15,ucdp,11545,dyad 11545 Government of Somalia vs Republic of Somaliland (Somalia) onset 2018-05-15 intensity 1,520,iran_sanctions_reimposed_2018,7
2018-09-06,icb,491,SEA OF AZOV 2018-09-06..2018-12-28 viol 2.0,365;369,iran_metals_windown_2018,31
2019-01-20,icb,492,ISRAEL-IRAN CLASHES IN SYRIA II 2019-01-20..2019-02-13 viol 2.0,630;652;666,venezuela_sanctions_2019,8
2019-01-23,icb,493,VENEZUELAN ELECTION 2019-01-23..2019-05-10 viol 1.0,101,venezuela_sanctions_2019,5
2019-02-13,ucdp,12556,dyad 12556 Government of Iran vs Jaish al-Adl (Iran) onset 2019-02-13 intensity 1,630,lasbambas_blockade_2019,11
2019-02-14,icb,494,PULWAMA SUICIDE BOMBING 2019-02-14..2019-03-01 viol 2.0,750;770,lasbambas_blockade_2019,12
2019-06-18,icb,495,SOLEIMANI ASSASSINATION 2019-06-18..2020-01-08 viol 2.0,2;630,gulf_of_oman_tanker_attacks_2019,5
2019-06-22,ucdp,16023,dyad 16023 Government of Ethiopia vs Military faction (forces of Asaminew Tsige) (Ethiopia) onset 2019-06-22 intensity 1,530,gulf_of_oman_tanker_attacks_2019,9
2019-10-06,ucdp,16240,dyad 16240 Government of Ethiopia vs OLA (Ethiopia) onset 2019-10-06 intensity 1,530,ecuador_leaves_opec_2019,5
2020-01-07,gpr,20200107,"GPRD 413.5 > p99 337.84 (1987+, n 14489)",,soleimani_strike_2020,4
2020-01-09,gpr,20200109,"GPRD 394.5 > p99 337.84 (1987+, n 14489)",,soleimani_strike_2020,6
2020-02-27,icb,498,OPERATION SPRING SHIELD 2020-02-27..2020-03-05 viol 4.0,365;640;652,arg_soy_tax_2020,6
2020-05-05,icb,499,GALWAN VALLEY BORDER CLASH 2020-05-05..2021-02-10 viol 2.0,710;750,neg_wti_2020,15
2020-11-13,icb,503,INDIA-PAKISTAN BORDER FIRING II 2020-11-13..2021-02-25 viol 2.0,750;770,saudi_jeddah_depot_2020,10
2020-11-27,icb,504,FAKHRIZADEH ASSASSINATION 2020-11-27..2020-12-03 viol 2.0,630,saudi_jeddah_depot_2020,4
2021-01-09,icb,506,US VISIT TO WESTERN SAHARA 2021-01-09..2021-01-18 viol 1.0,615,hankuk_chemi_seizure_2021,5
2021-01-09,icb,507,US-TAIWAN DIPLOMATIC VISITS II 2021-01-09..2021-11-15 viol 1.0,710;713,hankuk_chemi_seizure_2021,5
2021-01-13,icb,508,ISRAEL-IRAN CLASHES IN SYRIA III 2021-01-13..2021-01-22 viol 4.0,630;652,hankuk_chemi_seizure_2021,9
2021-01-22,icb,509,CHINA COAST GUARD LAW 2021-01-22..2021-05-17 viol 1.0,740,rus_wheat_floattax_2021,13
2021-04-24,ucdp,14636,dyad 14636 Government of Nigeria vs IPOB (Nigeria) onset 2021-04-24 intensity 1,475,colonial_pipeline_shutdown_2021,13
2022-06-14,ucdp,16920,dyad 16920 Government of Ethiopia vs GLF (Ethiopia) onset 2022-06-14 intensity 1,530,sanc_2022_06_03,11
2023-06-27,ucdp,17147,dyad 17147 Government of Ethiopia vs Fano (Ethiopia) onset 2023-06-27 intensity 2,530,chn_gage_2023,6
2023-08-23,ucdp,17528,dyad 17528 Government of Russia (Soviet Union) vs Wagner (Russia (Soviet Union)) onset 2023-08-23 intensity 1,365,gabon_coup_2023,7
2023-09-26,ucdp,17509,dyad 17509 Government of Russia (Soviet Union) vs RDK (Russia (Soviet Union)) onset 2023-09-26 intensity 1,365,eu_cbam_2023,5
2023-11-23,ucdp,18806,dyad 18806 Government of Israel vs Palestinian Mujahideen Movement (Israel) onset 2023-11-23 intensity 1,666,me_galaxy_leader_2023,4
2024-09-05,ucdp,17249,dyad 17249 Government of Colombia vs FARC - Segunda Marquetalia  (Colombia) onset 2024-09-05 intensity 1,100,kaz_uranium_acid_2024,13
2025-05-22,ucdp,18195,"dyad 18195 Government of Israel vs Government of Yemen (North Yemen) (Israel, Yemen (North Yemen)) onset 2025-05-22 intensity 1",666;678,uschina_geneva_truce_2025,10
2025-12-27,ucdp,16617,dyad 16617 Government of Yemen (North Yemen) vs STC (Yemen (North Yemen)) onset 2025-12-27 intensity 1,678,rus_novorossiysk_terminal_2025,43
2026-03-09,gpr,20260309,"GPRD 372.1 > p99 337.84 (1987+, n 14489)",,hormuz_closure_2026,5
2026-03-17,gpr,20260317,"GPRD 354.1 > p99 337.84 (1987+, n 14489)",,hormuz_closure_2026,13
2026-03-19,gpr,20260319,"GPRD 375.7 > p99 337.84 (1987+, n 14489)",,hormuz_closure_2026,15
2026-03-24,gpr,20260324,"GPRD 402.1 > p99 337.84 (1987+, n 14489)",,hormuz_closure_2026,20
2026-03-31,gpr,20260331,"GPRD 447.8 > p99 337.84 (1987+, n 14489)",,hormuz_closure_2026,27
2026-04-09,gpr,20260409,"GPRD 447.0 > p99 337.84 (1987+, n 14489)",,hormuz_closure_2026,36
2026-04-13,gpr,20260413,"GPRD 374.4 > p99 337.84 (1987+, n 14489)",,hormuz_closure_2026,40
2026-04-16,gpr,20260416,"GPRD 348.0 > p99 337.84 (1987+, n 14489)",,hormuz_closure_2026,43
