source,source_id,event_date,inside_big_move,episode_id,monthly_move_pct,wti_chg_3m_pct
COW War v4.0 inter-state,WarNum 170,1968-01-13,False,,,0.0
ICB v16,crisno 224,1968-01-21,False,,,0.0
ICB v16,crisno 225,1968-01-28,False,,,0.0
ICB v16,crisno 226,1968-03-18,False,,,0.0
ICB v16,crisno 227,1968-04-09,False,,,0.0
Dyadic MID 4.03,disno 2923,1968-05-04,False,,,0.0
Dyadic MID 4.03,disno 1051,1968-05-12,False,,,0.0
Dyadic MID 4.03,disno 2922,1968-06-17,False,,,0.0
Dyadic MID 4.03,disno 2927,1968-06-22,False,,,0.0
Dyadic MID 4.03,disno 2926,1968-06-28,False,,,0.0
Dyadic MID 4.03,disno 1069,1968-07-23,False,,,0.0
Dyadic MID 4.03,disno 3447,1968-09-03,False,,,0.0
Dyadic MID 4.03,disno 2925,1968-09-28,False,,,0.0
ICB v16,crisno 229,1968-12-28,False,,,5.86
Dyadic MID 4.03,disno 352,1969-01-01,False,,,9.12
COW War v4.1 intra-state,WarNum 777,1969-01-03,False,,,9.12
Dyadic MID 4.03,disno 350,1969-02-14,False,,,9.12
ICB v16,crisno 230,1969-02-22,False,,,9.12
Dyadic MID 4.03,disno 2633,1969-03-01,False,,,3.08
Dyadic MID 4.03,disno 349,1969-03-02,False,,,3.08
ICB v16,crisno 231,1969-03-02,False,,,3.08
COW War v4.0 inter-state,WarNum 172,1969-03-06,False,,,3.08
ICB v16,crisno 232,1969-03-08,False,,,3.08
Dyadic MID 4.03,disno 1136,1969-04-06,False,,,0.0
ICB v16,crisno 233,1969-04-15,False,,,0.0
ICB v16,crisno 234,1969-04-15,False,,,0.0
Dyadic MID 4.03,disno 3173,1969-05-01,False,,,0.0
Dyadic MID 4.03,disno 2937,1969-08-09,False,,,0.0
Dyadic MID 4.03,disno 2634,1969-08-12,False,,,0.0
Dyadic MID 4.03,disno 2108,1969-09-14,False,,,0.0
Dyadic MID 4.03,disno 2936,1969-09-19,False,,,0.0
ICB v16,crisno 236,1969-10-22,False,,,0.0
Dyadic MID 4.03,disno 2373,1969-11-05,False,,,0.0
Dyadic MID 4.03,disno 2635,1969-12-20,False,,,0.0
Dyadic MID 4.03,disno 2109,1970-01-20,False,,,0.0
COW War v4.1 intra-state,WarNum 778,1970-02-01,False,,,0.0
ICB v16,crisno 237,1970-03-13,False,,,0.0
COW War v4.0 inter-state,WarNum 176,1970-03-23,False,,,0.0
Dyadic MID 4.03,disno 1039,1970-06-11,False,,,-1.19
Dyadic MID 4.03,disno 3387,1970-08-08,False,,,0.0
Dyadic MID 4.03,disno 1068,1970-08-15,False,,,0.0
COW War v4.1 intra-state,WarNum 780,1970-09-13,False,,,7.55
