event_date,actors,source,source_id,source_detail,suggested_title
1958-09-14,Egypt; Israel,Dyadic MID 4.03,disno 3420,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY; 1958-09-14..1958-09-18",
1958-11-07,United States; USSR/Russia,Dyadic MID 4.03,disno 2216,"hihost 4 (use of force); dyads RUS-USA, USA-RUS; 1958-11-07..1958-11-07",
1958-11-07,United States; United Kingdom; France; USSR/Russia,Dyadic MID 4.03,disno 608,"hihost 4 (use of force); dyads FRN-RUS, RUS-FRN, RUS-UKG, RUS-USA, UKG-RUS, USA-RUS; 1958-11-07..1959-06-23",
1958-11-10,Egypt; Syria; Israel,Dyadic MID 4.03,disno 3419,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY, ISR-SYR, SYR-ISR; 1958-11-10..1963-09-08",
1958-11-27,United States; United Kingdom; France; West Germany; ccode 265; USSR/Russia,ICB v16,crisno 168,BERLIN DEADLINE; 1958-11-27..1959-09-15; viol 1; forout 1,
1958-12-28,Mexico; ccode 90,ICB v16,crisno 169,MEX./GUAT. FISHING; 1958-12-28..1959-02-01; viol 2; forout 2,
1959-01-27,USSR/Russia; Japan,Dyadic MID 4.03,disno 2861,"hihost 4 (use of force); dyads JPN-RUS, RUS-JPN; 1959-01-27..1959-08-24",
1959-02-28,USSR/Russia; ccode 840,Dyadic MID 4.03,disno 2863,"hihost 4 (use of force); dyads PHI-RUS, RUS-PHI; 1959-02-28..1959-03-06",
1959-03-06,Iraq; Iraq vs Shammar Tribe & Pro-WesternOfficers,COW War v4.1 intra-state,WarNum 747,Iraq-Shammar; 1959-03-06..1959-03-10,
1959-03-10,Iraq; Egypt,Dyadic MID 4.03,disno 2998,"hihost 4 (use of force); dyads EGY-IRQ, IRQ-EGY; 1959-03-10..1959-03-15",
1959-03-20,China; ccode 713,Dyadic MID 4.03,disno 2859,"hihost 4 (use of force); dyads CHN-TAW, TAW-CHN; 1959-03-20..1959-05-11",
1959-04-10,India; ccode 770,Dyadic MID 4.03,disno 2869,"hihost 4 (use of force); dyads IND-PAK, PAK-IND; 1959-04-10..1959-04-12",
1959-04-23,Egypt; Jordan,Dyadic MID 4.03,disno 3150,"hihost 4 (use of force); dyads EGY-JOR, JOR-EGY; 1959-04-23..1959-04-24",
1959-04-25,ccode 41; ccode 42; ccode 93; Panama,ICB v16,crisno 170,CEN. AMERICA/CUBA I; 1959-04-25..1959-12-28; viol 2; forout 4,
1959-05-21,China; ccode 775,Dyadic MID 4.03,disno 1708,"hihost 4 (use of force); dyads CHN-MYA, MYA-CHN; 1959-05-21..1959-09-07",
1959-05-24,Egypt; Israel,Dyadic MID 4.03,disno 3421,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY; 1959-05-24..1959-08-20",
1959-06-07,Turkey; Egypt,Dyadic MID 4.03,disno 2996,"hihost 4 (use of force); dyads EGY-TUR, TUR-EGY; 1959-06-07..1959-08-04",
1959-06-23,China; India,Dyadic MID 4.03,disno 203,"hihost 4 (use of force); dyads CHN-IND, IND-CHN; 1959-06-23..1961-10-28",
1959-08-15,Jordan; Israel,Dyadic MID 4.03,disno 3231,"hihost 4 (use of force); dyads ISR-JOR, JOR-ISR; 1959-08-15..1961-08-20",
1959-08-25,China; India,ICB v16,crisno 171,CHINA/INDIA BRD. I; 1959-08-25..1960-04-19; viol 2; forout 2,
1959-09-22,Iran; Iraq,Dyadic MID 4.03,disno 1138,"hihost 4 (use of force); dyads IRN-IRQ, IRQ-IRN; 1959-09-22..1960-01-21",
1959-10-07,Egypt; Israel,Dyadic MID 4.03,disno 3430,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY; 1959-10-07..1960-08-22",
1959-11-28,Iran; Iraq,ICB v16,crisno 172,SHATT-AL-ARAB I; 1959-11-28..1960-01-04; viol 2; forout 3,
1959-12-15,Egypt; Jordan,Dyadic MID 4.03,disno 2999,"hihost 4 (use of force); dyads EGY-JOR, JOR-EGY; 1959-12-15..1959-12-15",
1959-12-28,USSR/Russia; South Korea,Dyadic MID 4.03,disno 1709,"hihost 4 (use of force); dyads ROK-RUS, RUS-ROK; 1959-12-28..1959-12-28",
1960-01-01,"United States; ccode 817; United States of America vs -8 | Vietnam, Republic of vs NLF",COW War v4.1 intra-state,WarNum 748,Vietnam Phase 1; 1960-01-01..1965-02-06,
1960-01-10,China; South Korea,Dyadic MID 4.03,disno 1710,"hihost 4 (use of force); dyads CHN-ROK, ROK-CHN; 1960-01-10..1960-01-10",
1960-02-15,Egypt; Israel,ICB v16,crisno 173,ROTTEM; 1960-02-15..1960-03-08; viol 1; forout 3,
1960-05-01,United States; USSR/Russia; Norway; Turkey; Japan; ccode 770,Dyadic MID 4.03,disno 253,"hihost 4 (use of force); dyads JPN-RUS, NOR-RUS, PAK-RUS, RUS-JPN, RUS-NOR, RUS-PAK, RUS-TUR, RUS-USA, TUR-RUS, USA-RUS; 1960-05-01..1960-07-18",
1960-06-24,ccode 42; Venezuela,ICB v16,crisno 175,FAILED ASS. VENEZUELA; 1960-06-24..1960-09-28; viol 1; forout 6,
1960-07-06,Egypt; Israel,Dyadic MID 4.03,disno 3422,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY; 1960-07-06..1960-07-13",
1960-07-16,USSR/Russia; Japan,Dyadic MID 4.03,disno 2873,"hihost 4 (use of force); dyads JPN-RUS, RUS-JPN; 1960-07-16..1960-09-07",
1960-09-26,Egypt; Jordan,Dyadic MID 4.03,disno 3162,"hihost 4 (use of force); dyads EGY-JOR, JOR-EGY; 1960-09-26..1960-09-28",
1960-12-26,Ethiopia,ICB v16,crisno 179,ETHIOPIA/SOMALIA; 1960-12-26..1961-01-01; viol 3; forout 7,
1961-01-01,United States; USSR/Russia; China; ccode 800; ccode 816,Dyadic MID 4.03,disno 1363,"hihost 4 (use of force); dyads CHN-THI, CHN-USA, DRV-THI, DRV-USA, RUS-THI, RUS-USA, THI-CHN, THI-DRV, THI-RUS, USA-CHN, USA-DRV, USA-RUS; 1961-01-01..1961-04-20",
1961-01-01,USSR/Russia; Japan,Dyadic MID 4.03,disno 1799,"hihost 4 (use of force); dyads JPN-RUS, RUS-JPN; 1961-01-01..1961-09-28",
1961-02-12,Egypt; Israel,Dyadic MID 4.03,disno 3406,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY; 1961-02-12..1961-08-15",
1961-03-09,United States; ccode 800,ICB v16,crisno 180,PATHET LAO OFFENSIVE; 1961-03-09..1961-05-16; viol 1; forout 6,
1961-04-15,United States; ccode 40,ICB v16,crisno 181,BAY OF PIGS; 1961-04-15..1961-04-24; viol 2; forout 4,
1961-06-11,USSR/Russia; Japan,Dyadic MID 4.03,disno 2882,"hihost 4 (use of force); dyads JPN-RUS, RUS-JPN; 1961-06-11..1962-04-27",
1961-06-19,United Kingdom; Iraq; Kuwait,ICB v16,crisno 183,KUWAIT INDEPENDENCE; 1961-06-19..1961-07-13; viol 1; forout 4,
1961-06-25,United Kingdom; ccode 625; Iran; Iraq; Egypt; Jordan; Saudi Arabia; Kuwait,Dyadic MID 4.03,disno 122,"hihost 4 (use of force); dyads EGY-IRQ, IRN-IRQ, IRQ-EGY, IRQ-IRN, IRQ-JOR, IRQ-KUW, IRQ-SAU, IRQ-SUD, IRQ-UKG, JOR-IRQ, KUW-IRQ, SAU-IRQ, SUD-IRQ, UKG-IRQ; 1961-06-25..1962-02-28",
1961-07-17,France; ccode 616,ICB v16,crisno 184,BIZERTA; 1961-07-17..1961-09-28; viol 3; forout 1,
1961-07-25,United States; United Kingdom; France; USSR/Russia,Dyadic MID 4.03,disno 27,"hihost 4 (use of force); dyads FRN-RUS, RUS-FRN, RUS-UKG, RUS-USA, UKG-RUS, USA-RUS; 1961-07-25..1961-10-28",
1961-08-28,United States; United Kingdom; France; West Germany; ccode 265; USSR/Russia,ICB v16,crisno 185,BERLIN WALL; 1961-08-28..1961-10-28; viol 1; forout 3,
1961-09-11,Iraq; Iraq vs Kurds,COW War v4.1 intra-state,WarNum 752,First Iraqi Kurd; 1961-09-11..1963-11-22,
1961-09-18,United States; ccode 817,ICB v16,crisno 186,VIET CONG ATTACK; 1961-09-18..1961-11-15; viol 2; forout 4,
1961-09-26,ccode 210; Indonesia,ICB v16,crisno 187,WEST IRIAN II; 1961-09-26..1962-08-15; viol 2; forout 1,
1961-09-27,Syria; Israel,Dyadic MID 4.03,disno 3434,"hihost 4 (use of force); dyads ISR-SYR, SYR-ISR; 1961-09-27..1966-11-27",
1961-09-28,Egypt,ICB v16,crisno 188,BREAKUP OF UAR; 1961-09-28..1961-10-05; viol 2; forout 4,
1961-11-02,China; India,Dyadic MID 4.03,disno 199,"hihost 5 (war); dyads CHN-IND, IND-CHN; 1961-11-02..1962-12-26",
1962-01-07,United States; China; ccode 713,Dyadic MID 4.03,disno 172,"hihost 4 (use of force); dyads CHN-TAW, CHN-USA, TAW-CHN, USA-CHN; 1962-01-07..1962-12-19",
1962-01-28,United States; USSR/Russia,Dyadic MID 4.03,disno 61,"hihost 4 (use of force); dyads RUS-USA, USA-RUS; 1962-01-28..1962-12-12",
1962-02-24,United States; United Kingdom; USSR/Russia; China; ccode 800,Dyadic MID 4.03,disno 1353,"hihost 4 (use of force); dyads CHN-THI, CHN-UKG, CHN-USA, RUS-THI, RUS-UKG, RUS-USA, THI-CHN, THI-RUS, UKG-CHN, UKG-RUS, USA-CHN, USA-RUS; 1962-02-24..1964-07-28",
1962-03-28,Turkey; Syria,Dyadic MID 4.03,disno 3165,"hihost 4 (use of force); dyads SYR-TUR, TUR-SYR; 1962-03-28..1962-03-28",
1962-04-22,China,ICB v16,crisno 192,TAIWAN STRAIT III; 1962-04-22..1962-06-27; viol 1; forout 4,
1962-05-01,China; India,Dyadic MID 4.03,disno 1466,"hihost 4 (use of force); dyads CHN-IND, IND-CHN; 1962-05-01..1962-10-05",
1962-05-06,United States; ccode 800,ICB v16,crisno 193,NAM THA; 1962-05-06..1962-06-12; viol 1; forout 3,
1962-06-14,Jordan; Israel,Dyadic MID 4.03,disno 1018,"hihost 4 (use of force); dyads ISR-JOR, JOR-ISR; 1962-06-14..1962-07-04",
1962-06-21,USSR/Russia; Japan,Dyadic MID 4.03,disno 2888,"hihost 4 (use of force); dyads JPN-RUS, RUS-JPN; 1962-06-21..1962-09-08",
1962-07-09,Turkey; Iraq,Dyadic MID 4.03,disno 1123,"hihost 4 (use of force); dyads IRQ-TUR, TUR-IRQ; 1962-07-09..1962-08-19",
1962-07-28,Algeria; Algeria vs ALN,COW War v4.1 intra-state,WarNum 753,Algerian Revolutionaries; 1962-07-28..1963-01-15,
1962-08-17,USSR/Russia; Turkey,Dyadic MID 4.03,disno 3163,"hihost 4 (use of force); dyads RUS-TUR, TUR-RUS; 1962-08-17..1962-08-17",
1962-09-08,China; India,ICB v16,crisno 194,CHINA/INDIA BDR. II; 1962-09-08..1963-01-23; viol 4; forout 4,
1962-09-18,India; ccode 770,Dyadic MID 4.03,disno 1310,"hihost 4 (use of force); dyads IND-PAK, PAK-IND; 1962-09-18..1962-11-04",
1962-09-26,Egypt; Jordan; Saudi Arabia; Yemen Arab Republic,ICB v16,crisno 195,YEMEN WAR I; 1962-09-26..1963-04-15; viol 4; forout 1,
1962-10-01,United States; Egypt; Jordan; Saudi Arabia; Yemen Arab Republic,Dyadic MID 4.03,disno 1108,"hihost 4 (use of force); dyads EGY-JOR, EGY-SAU, EGY-USA, JOR-EGY, JOR-YAR, SAU-EGY, SAU-YAR, USA-EGY, USA-YAR, YAR-JOR, YAR-SAU, YAR-USA; 1962-10-01..1963-12-22",
1962-10-16,United States; ccode 40; USSR/Russia,ICB v16,crisno 196,CUBAN MISSILES; 1962-10-16..1962-11-20; viol 2; forout 2,
1962-10-20,India (side 2); China (side 1),COW War v4.0 inter-state,WarNum 160,Assam; 2 participants; battle deaths 1853,
1962-10-22,United Kingdom; Yemen Arab Republic,Dyadic MID 4.03,disno 610,"hihost 4 (use of force); dyads UKG-YAR, YAR-UKG; 1962-10-22..1965-06-28",
1962-10-28,United States; ccode 135,Dyadic MID 4.03,disno 3244,"hihost 4 (use of force); dyads PER-USA, USA-PER; 1962-10-28..1962-11-01",
1962-11-15,Egypt; Yemen Arab Republic; Egypt/United Arab Republic vs -8 | Yemen Arab Republic vs Royalists,COW War v4.1 intra-state,WarNum 755,North Yemen; 1962-11-15..1969-09-03,
1963-01-28,United Kingdom; Yemen Arab Republic,Dyadic MID 4.03,disno 2157,"hihost 4 (use of force); dyads UKG-YAR, YAR-UKG; 1963-01-28..1963-02-27",
1963-02-06,China; ccode 713,Dyadic MID 4.03,disno 2892,"hihost 4 (use of force); dyads CHN-TAW, TAW-CHN; 1963-02-06..1966-01-09",
1963-02-11,Malaysia; Indonesia,ICB v16,crisno 197,MALAYSIA FEDERATION; 1963-02-11..1965-08-09; viol 1; forout 6,
1963-02-13,United Kingdom; Indonesia,Dyadic MID 4.03,disno 1070,"hihost 4 (use of force); dyads INS-UKG, UKG-INS; 1963-02-13..1965-11-14",
1963-03-19,"United States; ccode 812; ccode 816; -8 vs Vietnam, Democratic Rep. | Laos vs Pathet Lao | United States of America vs -8",COW War v4.1 intra-state,WarNum 756,Second Laotian Phase 1; 1963-03-19..1968-01-12,
1963-04-02,United States; USSR/Russia,Dyadic MID 4.03,disno 2218,"hihost 4 (use of force); dyads RUS-USA, USA-RUS; 1963-04-02..1963-04-02",
1963-05-28,United States; Ecuador,Dyadic MID 4.03,disno 1803,"hihost 4 (use of force); dyads ECU-USA, USA-ECU; 1963-05-28..1963-06-14",
1963-06-01,Somalia; Ethiopia; -8 vs Somalia | Ethiopia vs Ogaden,COW War v4.1 intra-state,WarNum 757,First Ogaden; 1963-06-01..1964-03-28,
1963-07-01,India; ccode 770,Dyadic MID 4.03,disno 1317,"hihost 4 (use of force); dyads IND-PAK, PAK-IND; 1963-07-01..1963-08-28",
1963-07-23,Egypt; Israel,Dyadic MID 4.03,disno 3377,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY; 1963-07-23..1963-07-23",
1963-08-19,Syria; Lebanon,Dyadic MID 4.03,disno 3166,"hihost 4 (use of force); dyads LEB-SYR, SYR-LEB; 1963-08-19..1963-11-08",
1963-08-25,Jordan; Israel,Dyadic MID 4.03,disno 1019,"hihost 4 (use of force); dyads ISR-JOR, JOR-ISR; 1963-08-25..1965-09-05",
1963-10-01,ccode 600; Algeria,ICB v16,crisno 199,ALGERIA/MOROCCO BDR.; 1963-10-01..1963-11-04; viol 3; forout 1,
1963-11-01,Venezuela,ICB v16,crisno 200,CUBA/VENEZUELA; 1963-11-01..1963-12-01; viol 1; forout 6,
1963-11-17,Japan; Indonesia,Dyadic MID 4.03,disno 2894,"hihost 4 (use of force); dyads INS-JPN, JPN-INS; 1963-11-17..1963-11-17",
1963-11-21,USSR/Russia; Iran,Dyadic MID 4.03,disno 2897,"hihost 4 (use of force); dyads IRN-RUS, RUS-IRN; 1963-11-21..1963-11-21",
1963-11-28,ccode 350; ccode 352; Turkey,ICB v16,crisno 202,CYPRUS I; 1963-11-28..1964-08-10; viol 3; forout 1,
1963-12-11,Egypt; Syria; Lebanon; Jordan; Israel,ICB v16,crisno 203,JORDAN WATERS; 1963-12-11..1964-05-05; viol 1; forout 4,
1964-01-09,United States; Panama,ICB v16,crisno 206,PANAMA FLAG; 1964-01-09..1964-01-12; viol 2; forout 5,
1964-01-19,United Kingdom,ICB v16,crisno 207,E. AFRICA REBELLIONS; 1964-01-19..1964-01-28; viol 2; forout 4,
1964-01-28,United States; USSR/Russia,Dyadic MID 4.03,disno 2220,"hihost 4 (use of force); dyads RUS-USA, USA-RUS; 1964-01-28..1964-03-27",
1964-02-07,Somalia; Ethiopia,ICB v16,crisno 208,OGADEN I; 1964-02-07..1964-03-28; viol 3; forout 1,
1964-02-18,France; Gabon,Dyadic MID 4.03,disno 92,"hihost 4 (use of force); dyads FRN-GAB, GAB-FRN; 1964-02-18..1964-02-28",
1964-02-23,United States; USSR/Russia; China; South Korea; ccode 800; ccode 816; ccode 840,Dyadic MID 4.03,disno 611,"hihost 5 (war); dyads CHN-PHI, CHN-ROK, CHN-THI, CHN-USA, DRV-PHI, DRV-ROK, DRV-THI, DRV-USA, PHI-CHN, PHI-DRV, ROK-CHN, ROK-DRV, ROK-RUS, RUS-ROK, RUS-USA, THI-CHN, THI-DRV, USA-CHN, USA-DRV, USA-RUS; 1964-02-23..1973-04-17",
1964-04-07,China; India,Dyadic MID 4.03,disno 623,"hihost 4 (use of force); dyads CHN-IND, IND-CHN; 1964-04-07..1966-11-28",
1964-04-22,Egypt; Israel,Dyadic MID 4.03,disno 3378,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY; 1964-04-22..1965-03-03",
1964-05-28,Egypt; Saudi Arabia; Yemen Arab Republic,ICB v16,crisno 209,YEMEN WAR II; 1964-05-28..1964-11-08; viol 4; forout 1,
1964-07-17,United States; USSR/Russia,Dyadic MID 4.03,disno 2901,"hihost 4 (use of force); dyads RUS-USA, USA-RUS; 1964-07-17..1964-07-17",
1964-07-25,ccode 155; Argentina,Dyadic MID 4.03,disno 2080,"hihost 4 (use of force); dyads ARG-CHL, CHL-ARG; 1964-07-25..1964-07-28",
1964-07-28,United States; ccode 816,ICB v16,crisno 210,GULF OF TONKIN; 1964-07-28..1964-08-28; viol 2; forout 4,
1964-08-01,India; ccode 770,Dyadic MID 4.03,disno 1312,"hihost 5 (war); dyads IND-PAK, PAK-IND; 1964-08-01..1966-01-25",
1964-08-04,United States; ccode 211; USSR/Russia; ccode 490,ICB v16,crisno 211,CONGO II; 1964-08-04..1964-12-28; viol 3; forout 4,
1964-12-03,Egypt; Saudi Arabia; Yemen Arab Republic,ICB v16,crisno 212,YEMEN WAR III; 1964-12-03..1965-08-25; viol 4; forout 1,
1964-12-19,United States; Egypt,Dyadic MID 4.03,disno 2906,"hihost 4 (use of force); dyads EGY-USA, USA-EGY; 1964-12-19..1964-12-19",
1965-01-01,India; ccode 770,Dyadic MID 4.03,disno 2631,"hihost 4 (use of force); dyads IND-PAK, PAK-IND; 1965-01-01..1965-06-28",
1965-01-11,Japan; Indonesia,Dyadic MID 4.03,disno 2914,"hihost 4 (use of force); dyads INS-JPN, JPN-INS; 1965-01-11..1965-01-14",
1965-02-07,United States (side 2); ccode 811 (side 2); South Korea (side 2); ccode 840 (side 2); ccode 817 (side 2); ccode 816 (side 1); ccode 800 (side 2); ccode 900 (side 2),COW War v4.0 inter-state,WarNum 163,"Vietnam War, Phase 2; 8 participants; battle deaths 1021442",
1965-02-07,United States; ccode 816; ccode 817,ICB v16,crisno 213,PLEIKU; 1965-02-07..1965-03-28; viol 3; forout 4,
1965-04-03,Iraq; Iraq vs Kurds,COW War v4.1 intra-state,WarNum 765,Second Iraqi Kurds; 1965-04-03..1966-06-21,
1965-04-06,Egypt; Saudi Arabia; Yemen Arab Republic,Dyadic MID 4.03,disno 2360,"hihost 4 (use of force); dyads EGY-SAU, SAU-EGY, SAU-YAR, YAR-SAU; 1965-04-06..1965-08-24",
1965-04-08,India; ccode 770,ICB v16,crisno 214,RANN OF KUTCH; 1965-04-08..1965-06-28; viol 3; forout 1,
1965-04-09,United States; China,Dyadic MID 4.03,disno 2929,"hihost 4 (use of force); dyads CHN-USA, USA-CHN; 1965-04-09..1967-11-23",
1965-04-24,United States,ICB v16,crisno 215,DOMINICAN INTERVENTN.; 1965-04-24..1965-08-28; viol 2; forout 1,
1965-04-25,United States; ccode 42; Dominican Republic vs Leftists | United States of America vs -8,COW War v4.1 intra-state,WarNum 766,Dominican Republic; 1965-04-25..1965-09-06,
1965-05-27,Turkey; Syria,Dyadic MID 4.03,disno 3168,"hihost 4 (use of force); dyads SYR-TUR, TUR-SYR; 1965-05-27..1965-05-27",
1965-07-26,"Indonesia; Indonesia vs OPM, West Papua",COW War v4.1 intra-state,WarNum 767,First West Papua; 1965-07-26..1969-07-17,
1965-07-28,Turkey; Iraq,Dyadic MID 4.03,disno 3169,"hihost 4 (use of force); dyads IRQ-TUR, TUR-IRQ; 1965-07-28..1965-07-28",
1965-08-05,India (side 2); ccode 770 (side 1),COW War v4.0 inter-state,WarNum 166,Second Kashmir; 2 participants; battle deaths 7061,
1965-08-05,India; ccode 770,ICB v16,crisno 216,KASHMIR II; 1965-08-05..1966-01-10; viol 4; forout 2,
1965-10-28,Lebanon; Israel,Dyadic MID 4.03,disno 1017,"hihost 4 (use of force); dyads ISR-LEB, LEB-ISR; 1965-10-28..1965-10-28",
1965-11-06,ccode 155; Argentina,Dyadic MID 4.03,disno 1608,"hihost 4 (use of force); dyads ARG-CHL, CHL-ARG; 1965-11-06..1965-12-11",
1965-12-18,Iran; Iraq,Dyadic MID 4.03,disno 2106,"hihost 4 (use of force); dyads IRN-IRQ, IRQ-IRN; 1965-12-18..1966-01-12",
1965-12-28,United States; China; ccode 800,Dyadic MID 4.03,disno 1216,"hihost 4 (use of force); dyads CHN-THI, CHN-USA, THI-CHN, USA-CHN; 1965-12-28..1966-05-28",
1966-01-22,China; South Korea,Dyadic MID 4.03,disno 2920,"hihost 4 (use of force); dyads CHN-ROK, ROK-CHN; 1966-01-22..1966-01-22",
1966-02-18,Egypt; Israel,Dyadic MID 4.03,disno 3379,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY; 1966-02-18..1966-11-28",
1966-02-24,Syria; Jordan,Dyadic MID 4.03,disno 3171,"hihost 4 (use of force); dyads JOR-SYR, SYR-JOR; 1966-02-24..1966-12-28",
1966-03-14,South Korea; Japan,Dyadic MID 4.03,disno 2919,"hihost 4 (use of force); dyads JPN-ROK, ROK-JPN; 1966-03-14..1966-03-14",
1966-04-25,United Kingdom; Indonesia,Dyadic MID 4.03,disno 2918,"hihost 4 (use of force); dyads INS-UKG, UKG-INS; 1966-04-25..1966-04-25",
1966-05-01,Egypt; Saudi Arabia; Yemen Arab Republic,Dyadic MID 4.03,disno 1109,"hihost 4 (use of force); dyads EGY-SAU, SAU-EGY, SAU-YAR, YAR-SAU; 1966-05-01..1967-05-14",
1966-05-23,Iran; Iraq,Dyadic MID 4.03,disno 2107,"hihost 4 (use of force); dyads IRN-IRQ, IRQ-IRN; 1966-05-23..1966-05-23",
1966-07-15,United States; USSR/Russia,Dyadic MID 4.03,disno 2921,"hihost 4 (use of force); dyads RUS-USA, USA-RUS; 1966-07-15..1966-07-15",
1966-09-17,Egypt; Syria; Jordan; Israel,Dyadic MID 4.03,disno 3412,"hihost 4 (use of force); dyads EGY-ISR, ISR-EGY, ISR-JOR, ISR-SYR, JOR-ISR, SYR-ISR; 1966-09-17..1966-11-27",
1966-10-01,United States; ccode 90; Guatemala vs Leftists | United States vs -8,COW War v4.1 intra-state,WarNum 770,First Guatemala; 1966-10-01..1968-08-01,
1966-10-02,USSR/Russia; China,Dyadic MID 4.03,disno 343,"hihost 4 (use of force); dyads CHN-RUS, RUS-CHN; 1966-10-02..1968-06-07",
1966-10-14,Egypt; Saudi Arabia; Yemen Arab Republic,ICB v16,crisno 219,YEMEN WAR IV; 1966-10-14..1967-09-26; viol 4; forout 1,
1966-10-17,China; ccode 713,Dyadic MID 4.03,disno 2891,"hihost 4 (use of force); dyads CHN-TAW, TAW-CHN; 1966-10-17..1966-10-17",
1966-11-01,France; ccode 483; Chad vs Frolinat Rebels | France vs -8,COW War v4.1 intra-state,WarNum 771,First Chad (FROLINAT) Rebellion; 1966-11-01..1971-06-16,
1966-11-12,Jordan; Israel,ICB v16,crisno 220,EL SAMU; 1966-11-12..1966-11-15; viol 3; forout 4,
1966-12-16,Iraq; Egypt; Syria; Jordan; Israel; Saudi Arabia; Kuwait,Dyadic MID 4.03,disno 1035,"hihost 5 (war); dyads EGY-ISR, IRQ-ISR, ISR-EGY, ISR-IRQ, ISR-JOR, ISR-KUW, ISR-SAU, ISR-SYR, JOR-ISR, KUW-ISR, SAU-ISR, SYR-ISR; 1966-12-16..1967-06-10",
1966-12-28,United Kingdom; Yemen Arab Republic,Dyadic MID 4.03,disno 2155,"hihost 4 (use of force); dyads UKG-YAR, YAR-UKG; 1966-12-28..1967-04-22",
1967-01-09,United States; Ecuador,Dyadic MID 4.03,disno 1805,"hihost 4 (use of force); dyads ECU-USA, USA-ECU; 1967-01-09..1967-02-28",
1967-03-02,United States; USSR/Russia,Dyadic MID 4.03,disno 2934,"hihost 4 (use of force); dyads RUS-USA, USA-RUS; 1967-03-02..1967-03-22",
1967-04-28,United Kingdom; USSR/Russia,Dyadic MID 4.03,disno 2933,"hihost 4 (use of force); dyads RUS-UKG, UKG-RUS; 1967-04-28..1967-04-28",
1967-05-10,United States; USSR/Russia; South Korea; Japan,Dyadic MID 4.03,disno 2930,"hihost 4 (use of force); dyads JPN-RUS, ROK-RUS, RUS-JPN, RUS-ROK, RUS-USA, USA-RUS; 1967-05-10..1967-05-17",
1967-05-17,United States; USSR/Russia; Egypt; Syria; Jordan; Israel,ICB v16,crisno 222,SIX DAY WAR; 1967-05-17..1967-06-11; viol 4; forout 5,
1967-05-18,China; India,Dyadic MID 4.03,disno 1715,"hihost 4 (use of force); dyads CHN-IND, IND-CHN; 1967-05-18..1967-10-10",
1967-06-05,Israel (side 1); Egypt (side 2); Jordan (side 2); Syria (side 2),COW War v4.0 inter-state,WarNum 169,Six Day War; 4 participants; battle deaths 19600,
1967-06-15,Syria; Israel,Dyadic MID 4.03,disno 3446,"hihost 4 (use of force); dyads ISR-SYR, SYR-ISR; 1967-06-15..1967-11-27",
1967-06-26,USSR/Russia; Egypt; Israel,Dyadic MID 4.03,disno 1480,"hihost 5 (war); dyads EGY-ISR, ISR-EGY, ISR-RUS, RUS-ISR; 1967-06-26..1970-08-07",
1967-07-06,Nigeria; Nigeria vs Biafrans,COW War v4.1 intra-state,WarNum 775,Biafra; 1967-07-06..1970-01-12,
1967-07-15,Jordan; Israel,Dyadic MID 4.03,disno 1067,"hihost 4 (use of force); dyads ISR-JOR, JOR-ISR; 1967-07-15..1970-08-07",
1967-07-17,China; India,Dyadic MID 4.03,disno 2097,"hihost 4 (use of force); dyads CHN-IND, IND-CHN; 1967-07-17..1967-07-22",
1967-08-10,USSR/Russia; China,Dyadic MID 4.03,disno 2710,"hihost 4 (use of force); dyads CHN-RUS, RUS-CHN; 1967-08-10..1967-08-17",
1967-08-18,ccode 155; Argentina,Dyadic MID 4.03,disno 1609,"hihost 4 (use of force); dyads ARG-CHL, CHL-ARG; 1967-08-18..1968-05-07",
1967-09-05,China; China vs Red Guard,COW War v4.1 intra-state,WarNum 776,Cultural Revolution Phase 2; 1967-09-05..1968-09-01,
1967-09-08,China; ccode 713,Dyadic MID 4.03,disno 2935,"hihost 4 (use of force); dyads CHN-TAW, TAW-CHN; 1967-09-08..1967-09-08",
1967-10-09,India; ccode 770,Dyadic MID 4.03,disno 1343,"hihost 4 (use of force); dyads IND-PAK, PAK-IND; 1967-10-09..1967-10-10",
1967-11-15,ccode 350; ccode 352; Turkey,ICB v16,crisno 223,CYPRUS II; 1967-11-15..1967-12-04; viol 2; forout 1,
1968-01-13,United States (side 2); ccode 800 (side 2); ccode 812 (side 2); ccode 816 (side 1),COW War v4.0 inter-state,WarNum 170,"Second Laotian, Phase 2; 4 participants; battle deaths 13875",
1968-01-21,United States; ccode 731; South Korea,ICB v16,crisno 224,PUEBLO; 1968-01-21..1968-12-23; viol 2; forout 5,
1968-01-28,United States; ccode 817,ICB v16,crisno 225,TET OFFENSIVE; 1968-01-28..1968-03-28; viol 4; forout 4,
1968-03-18,Jordan; Israel,ICB v16,crisno 226,KARAMEH; 1968-03-18..1968-03-22; viol 3; forout 4,
