rank,tier,date,actors,label,n_records,families,multi_source,producer,transit,severity_why,via_amendment_1,records,route_predicted,route_tested
390,C,1963-11-01,Venezuela,CUBA/VENEZUELA,1,ICB,0,1,0,,0,ICB v16|crisno 200,,
391,C,1963-12-11,Egypt / Israel / Jordan / Lebanon / Syria,JORDAN WATERS,1,ICB,0,1,1,,0,ICB v16|crisno 203,,
392,C,1964-01-19,United Kingdom,E. AFRICA REBELLIONS,1,ICB,0,1,0,,0,ICB v16|crisno 207,,
393,C,1964-08-01,India,hihost 5 (war),1,MID,0,0,0,MID hihost 5,0,Dyadic MID 4.03|disno 1312,,
394,C,1965-01-01,India,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 2631,,
395,C,1965-04-08,India,RANN OF KUTCH,1,ICB,0,0,0,ICB viol 3,0,ICB v16|crisno 214,,
396,C,1965-08-05,India,KASHMIR II / Second Kashmir,2,COW+ICB,1,0,0,COW inter-state war; ICB viol 4,0,COW War v4.0 inter-state|WarNum 166 ; ICB v16|crisno 216,,
397,C,1966-03-14,Japan / South Korea,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 2919,,
398,C,1966-11-01,France,First Chad (FROLINAT) Rebellion,1,COW,0,0,0,,0,COW War v4.1 intra-state|WarNum 771,,
399,C,1967-10-09,India,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 1343,,
400,C,1967-11-15,Turkey,CYPRUS II,1,ICB,0,0,1,,0,ICB v16|crisno 223,,
401,C,1968-12-28,Lebanon,BEIRUT AIRPORT,1,ICB,0,0,1,,0,ICB v16|crisno 229,,
402,C,1969-03-01,India,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 2633,,
403,C,1969-04-15,United States,EC-121 SPY PLANE,1,ICB,0,1,0,,0,ICB v16|crisno 233,,
404,C,1969-08-12,India,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 2634,,
405,C,1969-12-20,India,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 2635,,
406,C,1970-02-01,India,Naxalite Rebellion,1,COW,0,0,0,,0,COW War v4.1 intra-state|WarNum 778,,
407,C,1971-03-25,India,BANGLADESH / hihost 5 (war),2,ICB+MID,1,0,0,ICB viol 4; MID hihost 5,0,ICB v16|crisno 242 ; Dyadic MID 4.03|disno 1447,,
408,C,1971-05-24,Libya,CHAD/LIBYA I,1,ICB,0,1,0,,0,ICB v16|crisno 243,,
409,C,1971-12-03,India,Bangladesh,1,COW,0,0,0,COW inter-state war,0,COW War v4.0 inter-state|WarNum 178,,
410,C,1972-05-05,India,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 2638,,
411,C,1973-03-20,Kuwait,IRAQ INVASION/KUWAIT,1,ICB,0,1,0,,0,ICB v16|crisno 252,,
412,C,1973-04-10,Israel,ISRAEL MOBILIZATION,1,ICB,0,0,1,,0,ICB v16|crisno 253,,
413,C,1973-05-14,United Kingdom,COD WAR I,1,ICB,0,1,0,,0,ICB v16|crisno 254,,
414,C,1975-01-28,Ethiopia,Eritrean War,1,COW,0,0,1,,0,COW War v4.1 intra-state|WarNum 798,,
415,C,1975-04-13,Lebanon / Syria,Second Lebanese,1,COW,0,0,1,,0,COW War v4.1 intra-state|WarNum 801,,
416,C,1975-11-01,United Kingdom,BELIZE I / COD WAR II,2,ICB,0,1,0,,0,ICB v16|crisno 262 ; ICB v16|crisno 263,,
417,C,1976-06-09,Syria,IRAQI THREAT,1,ICB,0,0,1,,0,ICB v16|crisno 269,,
418,C,1976-06-27,Israel,ENTEBBE RAID,1,ICB,0,0,1,,0,ICB v16|crisno 270,,
419,C,1976-07-01,Ethiopia / Somalia,Second Ogaden Phase 1,1,COW,0,0,1,,0,COW War v4.1 intra-state|WarNum 805,,
420,C,1976-08-06,Turkey,AEGEAN SEA I,1,ICB,0,0,1,,0,ICB v16|crisno 272,,
421,C,1976-11-21,Israel,SYRIA MOBILIZATION,1,ICB,0,0,1,,0,ICB v16|crisno 275,,
422,C,1977-06-25,United Kingdom,BELIZE II,1,ICB,0,1,0,,0,ICB v16|crisno 279,,
423,C,1977-10-25,Algeria / France,FRENCH HOSTAGES MAUR.,1,ICB,0,1,0,,0,ICB v16|crisno 285,,
424,C,1977-11-12,Japan / South Korea,hihost 4 (use of force),1,MID,0,0,0,MID hihost 4,0,Dyadic MID 4.03|disno 2963,,
425,C,1977-12-05,Argentina,BEAGLE CHANNEL I,1,ICB,0,1,0,,0,ICB v16|crisno 287,,
