rank,tier,date,actors,label,n_records,families,multi_source,producer,transit,severity_why,via_amendment_1,records,route_predicted,route_tested
34,A,1969-04-06,Iran / Iraq,SHATT-AL-ARAB II / hihost 4 (use of force),2,ICB+MID,1,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 1136 ; ICB v16|crisno 234,,
35,A,1970-03-13,United States,Communist Coalition / INVASION OF CAMBODIA,2,COW+ICB,1,1,0,COW inter-state war; ICB viol 4,0,ICB v16|crisno 237 ; COW War v4.0 inter-state|WarNum 176,,
36,A,1970-08-08,Algeria / Egypt / Israel / Jordan / Syria / United States,BLACK SEPTEMBER / Black September / CIENFUEGOS SUB. BASE,5,COW+ICB+MID,1,1,1,ICB viol 4; MID hihost 4,0,Dyadic MID 4.03|disno 3387 ; Dyadic MID 4.03|disno 1068 ; COW War v4.1 intra-state|WarNum 780 ; ICB v16|crisno 238 ; ICB v16|crisno 239,,
37,A,1972-10-23,Ecuador / United States,CHRISTMAS BOMBING / hihost 4 (use of force),2,ICB+MID,1,1,0,ICB viol 4; MID hihost 4,0,ICB v16|crisno 249 ; Dyadic MID 4.03|disno 602,,
38,A,1973-02-21,Israel / Libya / United States,LIBYAN PLANE / hihost 4 (use of force),3,ICB+MID,1,1,1,ICB viol 3; MID hihost 4,0,Dyadic MID 4.03|disno 1043 ; ICB v16|crisno 251 ; Dyadic MID 4.03|disno 2950,,
39,A,1973-10-05,Egypt / Iraq / Israel / Jordan / Saudi Arabia / Syria,OCTOBER-YOM KIPPUR WAR / Yom Kippur War / hihost 4 (use of force),4,COW+ICB+MID,1,1,1,COW inter-state war; ICB viol 4; MID hihost 4,0,ICB v16|crisno 255 ; COW War v4.0 inter-state|WarNum 181 ; Dyadic MID 4.03|disno 3380 ; Dyadic MID 4.03|disno 3437,,
40,A,1975-10-23,Angola,War over Angola / hihost 5 (war),2,COW+MID,1,1,0,COW inter-state war; MID hihost 5,0,COW War v4.0 inter-state|WarNum 186 ; Dyadic MID 4.03|disno 1441,,
41,A,1976-08-17,Israel / United States,POPLAR TREE / hihost 4 (use of force),2,ICB+MID,1,1,1,MID hihost 4,0,ICB v16|crisno 274 ; Dyadic MID 4.03|disno 2335,,
42,A,1977-03-08,Angola / Egypt / France,SHABA I / hihost 4 (use of force),2,ICB+MID,1,1,1,ICB viol 3; MID hihost 4,0,Dyadic MID 4.03|disno 2150 ; ICB v16|crisno 277,,
43,A,1977-07-12,Egypt / Libya,EGYPT/LIBYA CLASHES / hihost 4 (use of force),2,ICB+MID,1,1,1,ICB viol 3; MID hihost 4,0,Dyadic MID 4.03|disno 3126 ; ICB v16|crisno 281,,
44,A,1978-04-15,Angola / France / Libya / United States,CASSINGA INCIDENT / CHAD/LIBYA III / Fourth DRC (Shaba),5,COW+ICB+MID,1,1,0,ICB viol 3; ICB viol 4; MID hihost 4,0,Dyadic MID 4.03|disno 3631 ; ICB v16|crisno 290 ; COW War v4.1 intra-state|WarNum 811 ; ICB v16|crisno 291 ; ICB v16|crisno 292,,
45,A,1978-10-28,Libya,FALL OF AMIN / Ugandian-Tanzanian,2,COW+ICB,1,1,0,COW inter-state war; ICB viol 4,0,COW War v4.0 inter-state|WarNum 190 ; ICB v16|crisno 296,,
46,A,1979-01-27,China / USSR/Russia,Sino-Vietnamese Punitive / hihost 4 (use of force),2,COW+MID,1,1,0,COW inter-state war; MID hihost 4,0,Dyadic MID 4.03|disno 2716 ; COW War v4.0 inter-state|WarNum 193,,
47,A,1979-02-12,Iran / Iraq,Anti-Khomeini Coalition / hihost 4 (use of force),3,COW+MID,1,1,1,"COW intra-state war, producer state party (Amendment 1); MID hihost 4",0,COW War v4.1 intra-state|WarNum 816 ; Dyadic MID 4.03|disno 2113 ; Dyadic MID 4.03|disno 3025,,
48,A,1979-03-26,USSR/Russia / United States,AFGHANISTAN INVASION / hihost 4 (use of force),2,ICB+MID,1,1,0,ICB viol 3; MID hihost 4,0,Dyadic MID 4.03|disno 2053 ; ICB v16|crisno 303,,
49,A,1979-10-24,Iran / Iraq / United States,US HOSTAGES IN IRAN / hihost 4 (use of force) / hihost 5 (war),4,ICB+MID,1,1,1,MID hihost 4; MID hihost 5,0,Dyadic MID 4.03|disno 2115 ; Dyadic MID 4.03|disno 3020 ; ICB v16|crisno 309 ; Dyadic MID 4.03|disno 2967,,
50,A,1980-09-17,Iran / Iraq,Iran-Iraq / ONSET IRAN/IRAQ WAR,2,COW+ICB,1,1,1,COW inter-state war; ICB viol 4,0,ICB v16|crisno 317 ; COW War v4.0 inter-state|WarNum 199,,
51,A,1981-01-22,Ecuador,ECUADOR/PERU BDR. III / hihost 4 (use of force),2,ICB+MID,1,1,0,MID hihost 4,0,ICB v16|crisno 322 ; Dyadic MID 4.03|disno 2119,,
52,A,1981-08-12,Egypt / Libya / Oman / United States,GULF OF SYRTE I / hihost 4 (use of force),3,ICB+MID,1,1,1,MID hihost 4,0,ICB v16|crisno 330 ; Dyadic MID 4.03|disno 3099 ; Dyadic MID 4.03|disno 3098,,
53,A,1982-03-01,Argentina / United Kingdom,FALKLANDS/MALVINAS / Falkland Islands / hihost 5 (war),3,COW+ICB+MID,1,1,0,COW inter-state war; ICB viol 4; MID hihost 5,0,Dyadic MID 4.03|disno 3630 ; COW War v4.0 inter-state|WarNum 202 ; ICB v16|crisno 336,,
54,A,1983-06-24,France / Libya / United States,CHAD/LIBYA VI / hihost 4 (use of force),2,ICB+MID,1,1,0,MID hihost 4,0,ICB v16|crisno 342 ; Dyadic MID 4.03|disno 3634,,
55,A,1984-02-21,Iran / Iraq / Kuwait / Saudi Arabia / United Kingdom,BASRA-KHARG ISLAND / hihost 4 (use of force),2,ICB+MID,1,1,1,ICB viol 4; MID hihost 4,0,ICB v16|crisno 348 ; Dyadic MID 4.03|disno 3052,,
56,A,1984-03-08,Egypt / Libya / United States,OMDURMAN BOMBING / hihost 4 (use of force),2,ICB+MID,1,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3051 ; ICB v16|crisno 350,,
57,A,1986-01-13,France / Iran / Iraq / Israel / Kuwait / Libya,CAPTURE OF AL-FAW / CHAD/LIBYA VII / hihost 4 (use of force),7,ICB+MID,1,1,1,ICB viol 3; ICB viol 4; MID hihost 4,0,Dyadic MID 4.03|disno 2578 ; Dyadic MID 4.03|disno 3636 ; Dyadic MID 4.03|disno 2591 ; ICB v16|crisno 361 ; ICB v16|crisno 362 ; Dyadic MID 4.03|disno 3635 ; Dyadic MID 4.03|disno 2575,,
58,A,1986-04-26,Bahrain / Qatar,AL-DIBAL INCIDENT / hihost 4 (use of force),2,ICB+MID,1,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2572 ; ICB v16|crisno 364,,
59,A,1986-11-15,Libya,CHAD/LIBYA VIII / War over the Aouzou Strip,2,COW+ICB,1,1,0,COW inter-state war; ICB viol 4,0,COW War v4.0 inter-state|WarNum 207 ; ICB v16|crisno 370,,
60,B,1946-03-15,China,"Chinese Civil War, Phase 2",1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 725,,
61,B,1946-10-05,United Kingdom,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3192,,
62,B,1947-02-28,China,Taiwan Revolt,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 726,,
63,B,1947-05-12,China / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3265,,
64,B,1947-07-21,Indonesia,INDONESIA INDEP. II,1,ICB,0,1,1,ICB viol 4,0,ICB v16|crisno 116,,
65,B,1947-11-28,Egypt / Iraq / Israel / Jordan / Lebanon / Syria,PAL. PRT./ISRAEL IND.,1,ICB,0,1,1,ICB viol 4,0,ICB v16|crisno 120,,
66,B,1948-01-17,Argentina / Norway / United Kingdom,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2840,,
67,B,1948-03-21,France / USSR/Russia / United Kingdom / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 26,,
68,B,1948-04-09,Colombia,"Seventh Colombian ""La Violencia""",1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 731,,
69,B,1948-09-23,United States,CHINA CIVIL WAR,1,ICB,0,1,0,ICB viol 4,0,ICB v16|crisno 125,,
70,B,1948-12-19,Indonesia,INDONESIA INDEP. III,1,ICB,0,1,1,ICB viol 4,0,ICB v16|crisno 127,,
71,B,1949-05-19,Lebanon / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 1603,,
72,B,1949-07-01,United Kingdom / Yemen Arab Republic,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 604,,
73,B,1949-08-13,USSR/Russia / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1286,,
74,B,1949-10-01,China / United States,hihost 4 (use of force),3,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 633 ; Dyadic MID 4.03|disno 634 ; Dyadic MID 4.03|disno 2006,,
75,B,1949-10-18,United Kingdom,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2007,,
76,B,1949-12-23,Egypt / Israel,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3386,,
77,B,1950-02-16,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3411,,
78,B,1950-04-20,Israel / Jordan / USSR/Russia / United Kingdom,hihost 4 (use of force),2,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 1006 ; Dyadic MID 4.03|disno 3196,,
79,B,1950-05-28,Indonesia,South Moluccas,1,COW,0,1,1,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 733,,
80,B,1950-07-12,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3400,,
81,B,1950-08-17,China / United Kingdom,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2009,,
82,B,1950-10-09,Egypt / Israel / Syria,hihost 4 (use of force),2,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3427 ; Dyadic MID 4.03|disno 3370,,
83,B,1950-11-23,China / France,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2010,,
84,B,1951-02-12,Israel / Syria,HULA DRAINAGE,1,ICB,0,0,1,ICB viol 3,0,ICB v16|crisno 134,,
85,B,1951-02-13,China / United Kingdom / United States,hihost 4 (use of force),2,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2991 ; Dyadic MID 4.03|disno 2052,,
86,B,1951-03-18,United Kingdom,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2992,,
87,B,1951-07-28,Egypt / United Kingdom,SUEZ CANAL,1,ICB,0,1,1,ICB viol 3,0,ICB v16|crisno 136,,
88,B,1951-08-02,Iran / USSR/Russia,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3199,,
89,B,1951-08-11,Ecuador,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1155,,
90,B,1951-09-19,Egypt / Israel / United Kingdom,hihost 4 (use of force),2,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3372 ; Dyadic MID 4.03|disno 7,,
91,B,1951-12-16,Israel / Syria,hihost 4 (use of force),3,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3413 ; Dyadic MID 4.03|disno 3401 ; Dyadic MID 4.03|disno 3414,,
92,B,1952-06-28,USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1703,,
93,B,1952-07-01,Argentina,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1097,,
94,B,1952-08-01,Ecuador / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1702,,
95,B,1952-09-25,China / United Kingdom,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2989,,
96,B,1952-12-24,Egypt / Israel / Syria,hihost 4 (use of force),4,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3374 ; Dyadic MID 4.03|disno 3373 ; Dyadic MID 4.03|disno 3417 ; Dyadic MID 4.03|disno 3428,,
97,B,1953-02-03,China / Japan / South Korea / USSR/Russia / United Kingdom / United States,hihost 4 (use of force) / hihost 5 (war),3,MID,0,1,0,MID hihost 4; MID hihost 5,0,Dyadic MID 4.03|disno 1344 ; Dyadic MID 4.03|disno 50 ; Dyadic MID 4.03|disno 208,,
98,B,1953-04-16,China / South Korea / United States,KOREAN WAR III,1,ICB,0,1,0,ICB viol 3,0,ICB v16|crisno 140,,
99,B,1953-05-24,United Kingdom,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2988,,
100,B,1953-09-09,China / United Kingdom,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2984,,
101,B,1953-09-20,Indonesia,Indonesia Darul Islam,1,COW,0,1,1,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 738,,
102,B,1953-10-14,Jordan,QIBYA,1,ICB,0,0,1,ICB viol 3,0,ICB v16|crisno 143,,
103,B,1953-10-17,Japan / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3207,,
104,B,1953-12-14,China / Japan,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3208,,
105,B,1954-01-24,Ecuador,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1156,,
106,B,1954-02-28,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3403,,
107,B,1954-03-13,France / United Kingdom / United States,DIEN BIEN PHU,1,ICB,0,1,0,ICB viol 4,0,ICB v16|crisno 145,,
108,B,1954-04-06,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3404,,
109,B,1954-05-02,USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1448,,
110,B,1954-07-23,China / United Kingdom / United States,hihost 4 (use of force),2,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2033 ; Dyadic MID 4.03|disno 2034,,
111,B,1954-08-15,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3415,,
112,B,1955-01-19,United Kingdom,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2037,,
113,B,1955-01-28,United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3243,,
114,B,1955-02-01,China,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3211,,
115,B,1955-03-24,Japan / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2847,,
116,B,1955-03-28,Ecuador / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3242,,
117,B,1955-05-11,China / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2032,,
118,B,1955-06-15,Argentina,Argentine Military,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 740,,
119,B,1955-08-04,Argentina,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1098,,
120,B,1955-08-04,Egypt / France / Israel / Syria / USSR/Russia / United Kingdom,hihost 4 (use of force) / hihost 5 (war),2,MID,0,1,1,MID hihost 4; MID hihost 5,0,Dyadic MID 4.03|disno 3416 ; Dyadic MID 4.03|disno 200,,
121,B,1955-10-14,Egypt / Israel / Syria / Turkey,hihost 4 (use of force),2,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3405 ; Dyadic MID 4.03|disno 3154,,
122,B,1955-12-25,China / South Korea,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3213,,
123,B,1956-01-28,Norway / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 3225,,
124,B,1956-03-01,China,Tibetan Khamba Rebellion,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 741,,
125,B,1956-06-03,United Kingdom / Yemen Arab Republic,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 259,,
126,B,1956-09-13,Israel / Jordan,QALQILYA,1,ICB,0,0,1,ICB viol 3,0,ICB v16|crisno 153,,
127,B,1956-10-28,Egypt / France / Israel / United Kingdom,Sinai War,1,COW,0,1,1,COW inter-state war,0,COW War v4.0 inter-state|WarNum 155,,
128,B,1956-12-15,Indonesia,Indonesian Leftists,1,COW,0,1,1,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 742,,
129,B,1957-01-01,Israel / Jordan / Saudi Arabia,hihost 4 (use of force),2,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3230 ; Dyadic MID 4.03|disno 1013,,
130,B,1957-06-12,China / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2049,,
131,B,1958-02-01,Egypt,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 1091,,
132,B,1958-02-21,Indonesia,ABORT. COUP INDONESIA,1,ICB,0,1,1,ICB viol 3,0,ICB v16|crisno 164,,
133,B,1958-03-05,Jordan / Syria / Turkey,hihost 4 (use of force),2,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3151 ; Dyadic MID 4.03|disno 3152,,
134,B,1958-04-01,Argentina,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1099,,
135,B,1958-08-23,China,Taiwan Straits,1,COW,0,1,0,COW inter-state war,0,COW War v4.0 inter-state|WarNum 159,,
136,B,1958-09-14,Egypt / Israel,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3420,,
137,B,1958-11-10,Egypt / Israel / Syria,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3419,,
138,B,1959-01-27,Japan / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2861,,
139,B,1959-02-28,USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2863,,
140,B,1959-03-20,China,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2859,,
141,B,1959-04-23,Egypt / Israel / Jordan / Turkey,hihost 4 (use of force),3,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3150 ; Dyadic MID 4.03|disno 3421 ; Dyadic MID 4.03|disno 2996,,
142,B,1959-05-21,China,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1708,,
143,B,1959-06-23,China / India,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 203,,
144,B,1959-08-15,Israel / Jordan,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3231,,
145,B,1959-09-22,Iran / Iraq,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 1138,,
146,B,1959-10-07,Egypt / Israel,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3430,,
147,B,1959-12-15,Egypt / Jordan,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2999,,
148,B,1959-12-28,China / South Korea / USSR/Russia,hihost 4 (use of force),2,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1709 ; Dyadic MID 4.03|disno 1710,,
149,B,1960-01-01,United States,Vietnam Phase 1,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 748,,
150,B,1960-05-01,Japan / Norway / Turkey / USSR/Russia / United States,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 253,,
151,B,1960-07-06,Egypt / Israel,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3422,,
152,B,1960-07-16,Japan / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2873,,
153,B,1960-09-26,Egypt / Jordan,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3162,,
154,B,1960-12-26,Ethiopia,ETHIOPIA/SOMALIA,1,ICB,0,0,1,ICB viol 3,0,ICB v16|crisno 179,,
155,B,1961-01-01,China / Japan / USSR/Russia / United States,hihost 4 (use of force),2,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1363 ; Dyadic MID 4.03|disno 1799,,
156,B,1961-02-12,Egypt / Israel,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3406,,
157,B,1961-06-11,Japan / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2882,,
158,B,1961-09-11,Iraq,First Iraqi Kurd,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 752,,
159,B,1961-09-27,Israel / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3434,,
160,B,1961-11-02,China / India,hihost 5 (war),1,MID,0,1,0,MID hihost 5,0,Dyadic MID 4.03|disno 199,,
161,B,1962-01-07,China / USSR/Russia / United Kingdom / United States,hihost 4 (use of force),3,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 172 ; Dyadic MID 4.03|disno 61 ; Dyadic MID 4.03|disno 1353,,
162,B,1962-03-28,Syria / Turkey,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3165,,
163,B,1962-06-14,Israel / Jordan,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 1018,,
164,B,1962-06-21,Japan / USSR/Russia,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2888,,
165,B,1962-07-09,Iraq / Turkey,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 1123,,
166,B,1962-07-28,Algeria,Algerian Revolutionaries,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 753,,
167,B,1962-08-17,Turkey / USSR/Russia,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3163,,
168,B,1962-10-20,China / India,Assam,1,COW,0,1,0,COW inter-state war,0,COW War v4.0 inter-state|WarNum 160,,
169,B,1963-02-06,China,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2892,,
170,B,1963-05-28,Ecuador / United States,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1803,,
171,B,1963-07-23,Egypt / Israel,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3377,,
172,B,1963-08-19,Lebanon / Syria,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3166,,
173,B,1963-08-25,Israel / Jordan,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 1019,,
174,B,1963-10-01,Algeria,ALGERIA/MOROCCO BDR.,1,ICB,0,1,0,ICB viol 3,0,ICB v16|crisno 199,,
175,B,1963-11-17,Indonesia / Japan,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2894,,
176,B,1963-11-21,Iran / USSR/Russia,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2897,,
177,B,1963-11-28,Turkey,CYPRUS I,1,ICB,0,0,1,ICB viol 3,0,ICB v16|crisno 202,,
178,B,1964-02-07,Ethiopia / Somalia,OGADEN I,1,ICB,0,0,1,ICB viol 3,0,ICB v16|crisno 208,,
179,B,1964-02-18,France / Gabon,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 92,,
180,B,1964-04-07,China / India,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 623,,
181,B,1964-04-22,Egypt / Israel,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3378,,
182,B,1964-05-28,Egypt / Saudi Arabia / Yemen Arab Republic,YEMEN WAR II,1,ICB,0,1,1,ICB viol 4,0,ICB v16|crisno 209,,
183,B,1964-07-25,Argentina,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 2080,,
184,B,1965-01-11,Indonesia / Japan,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2914,,
185,B,1965-04-03,Iraq,Second Iraqi Kurds,1,COW,0,1,0,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 765,,
186,B,1965-04-06,Egypt / Saudi Arabia / Yemen Arab Republic,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2360,,
187,B,1965-05-27,Syria / Turkey,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 3168,,
188,B,1965-07-26,Indonesia,First West Papua,1,COW,0,1,1,"COW intra-state war, producer state party (Amendment 1)",1,COW War v4.1 intra-state|WarNum 767,,
189,B,1965-07-28,Iraq / Turkey,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3169,,
190,B,1965-10-28,Israel / Lebanon,hihost 4 (use of force),1,MID,0,0,1,MID hihost 4,0,Dyadic MID 4.03|disno 1017,,
191,B,1965-11-06,Argentina,hihost 4 (use of force),1,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1608,,
192,B,1965-12-18,Iran / Iraq,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 2106,,
193,B,1965-12-28,China / South Korea / United States,hihost 4 (use of force),2,MID,0,1,0,MID hihost 4,0,Dyadic MID 4.03|disno 1216 ; Dyadic MID 4.03|disno 2920,,
194,B,1966-02-18,Egypt / Israel,hihost 4 (use of force),1,MID,0,1,1,MID hihost 4,0,Dyadic MID 4.03|disno 3379,,
